consulta,motor,rank,doc_id,score,fuente,idioma,url,relevante
amazon documental selección española,Semantico,3,143,0.4991,Marca,es,https://www.marca.com/futbol/mundial/2026/07/17/seleccion-espanola-comunidades-autonomas-jugador-aporta-espana.html,
amazon documental selección española,BM25,4,67,4.8551,Trendencias.com,es,https://www.trendencias.com/celebrities/lamine-yamal-final-mundial-2026-a-sus-19-anos-no-teneis-que-esperar-nada-mi,
amazon documental selección española,Semantico,4,175,0.4913,Expansion.com,es,https://www.expansion.com/empresas/2026/07/25/6a63aba6e5fdea447e8b45a7.html,
amazon documental selección española,BM25,5,54,4.714,Marca,es,https://www.marca.com/futbol/mundial/2026/07/20/asi-podria-seleccion-tatuaje-prometio-hacerse-marc-cucurella-cara-fuent-video.html,
amazon documental selección española,Semantico,5,147,0.4913,Marca,es,https://www.marca.com/futbol/mundial/2026/07/19/espana-ganar-mundial-mejores-teorias-seremos-campeones-video.html,
argentina final,BM25,1,225,1.7907,BBC News,en,https://www.bbc.co.uk/sport/football/videos/cevlr32zzrno,
argentina final,Semantico,1,66,0.8056,Marca,es,https://www.marca.com/futbol/mundial/2026/07/16/antartida-aficionado-argentino-celebra-clasificacion-gran-final-mundial-video.html,
argentina final,BM25,2,3,1.6422,Xataka.com,es,https://www.xataka.com/basics/como-ver-espana-argentina-fecha-hora-final-mundial-2026-donde-puedes-verlo-cualquier-dispositivo,
argentina final,Semantico,2,51,0.7443,Larazon.es,es,https://www.larazon.es/tecnologia-consumo/series/es-final-argentina-espana-mundial-2026-forma-anime-puro-estilo-blue-lock_202607216a5f9c12e3eb0b64aa4bdfb7.html,
argentina final,BM25,3,30,1.6422,Marca,es,https://www.marca.com/futbol/mundial/album/2026/07/20/mejores-memes-final-mundial-espana-gano-argentina-satira-humor-mala-leche.html,
argentina final,Semantico,3,25,0.6794,20minutos.es,es,https://www.20minutos.es/deportes/otra-agresion-argentina-que-no-se-vio-vergonzoso-punetazo-ayala-dani-olmo_7016740_0.html,
argentina final,BM25,4,44,1.6308,Gizmodo.com,es,https://es.gizmodo.com/argentina-vs-suiza-en-vivo-gratis-donde-ver-el-mundial-2026-desde-cualquier-lugar-2000245410,
argentina final,Semantico,4,151,0.6734,Xataka.com,es,https://www.xataka.com/investigacion/no-hace-falta-terremoto-para-mover-aguja-sismica-gol-espana-basta,
argentina final,BM25,5,191,1.6287,Al Jazeera English,en,https://www.aljazeera.com/sports/2026/7/24/spains-de-la-fuente-slams-argentinas-world-cup-conduct-as-unacceptable,
argentina final,Semantico,5,16,0.6727,Marca,es,https://www.marca.com/futbol/mundial/2026/07/20/ganar-mundial-salvar-futbol.html,
