id_tiempo,fecha,anio,trimestre,mes,nombre_mes,dia_semana
116,2023-04-26,2023,T2,4,April,Miercoles
117,2023-04-27,2023,T2,4,April,Jueves
118,2023-04-28,2023,T2,4,April,Viernes
119,2023-04-29,2023,T2,4,April,Sabado
120,2023-04-30,2023,T2,4,April,Domingo
121,2023-05-01,2023,T2,5,May,Lunes
122,2023-05-02,2023,T2,5,May,Martes
123,2023-05-03,2023,T2,5,May,Miercoles
124,2023-05-04,2023,T2,5,May,Jueves
125,2023-05-05,2023,T2,5,May,Viernes
126,2023-05-06,2023,T2,5,May,Sabado
127,2023-05-07,2023,T2,5,May,Domingo
128,2023-05-08,2023,T2,5,May,Lunes
129,2023-05-09,2023,T2,5,May,Martes
130,2023-05-10,2023,T2,5,May,Miercoles
131,2023-05-11,2023,T2,5,May,Jueves
132,2023-05-12,2023,T2,5,May,Viernes
133,2023-05-13,2023,T2,5,May,Sabado
134,2023-05-14,2023,T2,5,May,Domingo
135,2023-05-15,2023,T2,5,May,Lunes
136,2023-05-16,2023,T2,5,May,Martes
137,2023-05-17,2023,T2,5,May,Miercoles
138,2023-05-18,2023,T2,5,May,Jueves
139,2023-05-19,2023,T2,5,May,Viernes
140,2023-05-20,2023,T2,5,May,Sabado
141,2023-05-21,2023,T2,5,May,Domingo
142,2023-05-22,2023,T2,5,May,Lunes
143,2023-05-23,2023,T2,5,May,Martes
144,2023-05-24,2023,T2,5,May,Miercoles
145,2023-05-25,2023,T2,5,May,Jueves
146,2023-05-26,2023,T2,5,May,Viernes
147,2023-05-27,2023,T2,5,May,Sabado
148,2023-05-28,2023,T2,5,May,Domingo
149,2023-05-29,2023,T2,5,May,Lunes
150,2023-05-30,2023,T2,5,May,Martes
151,2023-05-31,2023,T2,5,May,Miercoles
152,2023-06-01,2023,T2,6,June,Jueves
153,2023-06-02,2023,T2,6,June,Viernes
154,2023-06-03,2023,T2,6,June,Sabado
155,2023-06-04,2023,T2,6,June,Domingo
156,2023-06-05,2023,T2,6,June,Lunes
157,2023-06-06,2023,T2,6,June,Martes
158,2023-06-07,2023,T2,6,June,Miercoles
159,2023-06-08,2023,T2,6,June,Jueves
160,2023-06-09,2023,T2,6,June,Viernes
161,2023-06-10,2023,T2,6,June,Sabado
162,2023-06-11,2023,T2,6,June,Domingo
163,2023-06-12,2023,T2,6,June,Lunes
164,2023-06-13,2023,T2,6,June,Martes
165,2023-06-14,2023,T2,6,June,Miercoles
166,2023-06-15,2023,T2,6,June,Jueves
167,2023-06-16,2023,T2,6,June,Viernes
168,2023-06-17,2023,T2,6,June,Sabado
169,2023-06-18,2023,T2,6,June,Domingo
170,2023-06-19,2023,T2,6,June,Lunes
171,2023-06-20,2023,T2,6,June,Martes
172,2023-06-21,2023,T2,6,June,Miercoles
173,2023-06-22,2023,T2,6,June,Jueves
174,2023-06-23,2023,T2,6,June,Viernes
175,2023-06-24,2023,T2,6,June,Sabado
176,2023-06-25,2023,T2,6,June,Domingo
177,2023-06-26,2023,T2,6,June,Lunes
178,2023-06-27,2023,T2,6,June,Martes
179,2023-06-28,2023,T2,6,June,Miercoles
180,2023-06-29,2023,T2,6,June,Jueves
181,2023-06-30,2023,T2,6,June,Viernes
182,2023-07-01,2023,T3,7,July,Sabado
183,2023-07-02,2023,T3,7,July,Domingo
184,2023-07-03,2023,T3,7,July,Lunes
185,2023-07-04,2023,T3,7,July,Martes
186,2023-07-05,2023,T3,7,July,Miercoles
187,2023-07-06,2023,T3,7,July,Jueves
188,2023-07-07,2023,T3,7,July,Viernes
189,2023-07-08,2023,T3,7,July,Sabado
190,2023-07-09,2023,T3,7,July,Domingo
191,2023-07-10,2023,T3,7,July,Lunes
192,2023-07-11,2023,T3,7,July,Martes
193,2023-07-12,2023,T3,7,July,Miercoles
194,2023-07-13,2023,T3,7,July,Jueves
195,2023-07-14,2023,T3,7,July,Viernes
196,2023-07-15,2023,T3,7,July,Sabado
197,2023-07-16,2023,T3,7,July,Domingo
198,2023-07-17,2023,T3,7,July,Lunes
199,2023-07-18,2023,T3,7,July,Martes
200,2023-07-19,2023,T3,7,July,Miercoles
201,2023-07-20,2023,T3,7,July,Jueves
202,2023-07-21,2023,T3,7,July,Viernes
203,2023-07-22,2023,T3,7,July,Sabado
204,2023-07-23,2023,T3,7,July,Domingo
205,2023-07-24,2023,T3,7,July,Lunes
206,2023-07-25,2023,T3,7,July,Martes
207,2023-07-26,2023,T3,7,July,Miercoles
208,2023-07-27,2023,T3,7,July,Jueves
209,2023-07-28,2023,T3,7,July,Viernes
210,2023-07-29,2023,T3,7,July,Sabado
211,2023-07-30,2023,T3,7,July,Domingo
212,2023-07-31,2023,T3,7,July,Lunes
213,2023-08-01,2023,T3,8,August,Martes
214,2023-08-02,2023,T3,8,August,Miercoles
215,2023-08-03,2023,T3,8,August,Jueves
216,2023-08-04,2023,T3,8,August,Viernes
217,2023-08-05,2023,T3,8,August,Sabado
218,2023-08-06,2023,T3,8,August,Domingo
219,2023-08-07,2023,T3,8,August,Lunes
220,2023-08-08,2023,T3,8,August,Martes
221,2023-08-09,2023,T3,8,August,Miercoles
222,2023-08-10,2023,T3,8,August,Jueves
223,2023-08-11,2023,T3,8,August,Viernes
224,2023-08-12,2023,T3,8,August,Sabado
225,2023-08-13,2023,T3,8,August,Domingo
226,2023-08-14,2023,T3,8,August,Lunes
227,2023-08-15,2023,T3,8,August,Martes
228,2023-08-16,2023,T3,8,August,Miercoles
229,2023-08-17,2023,T3,8,August,Jueves
230,2023-08-18,2023,T3,8,August,Viernes
231,2023-08-19,2023,T3,8,August,Sabado
232,2023-08-20,2023,T3,8,August,Domingo
233,2023-08-21,2023,T3,8,August,Lunes
234,2023-08-22,2023,T3,8,August,Martes
235,2023-08-23,2023,T3,8,August,Miercoles
236,2023-08-24,2023,T3,8,August,Jueves
237,2023-08-25,2023,T3,8,August,Viernes
238,2023-08-26,2023,T3,8,August,Sabado
239,2023-08-27,2023,T3,8,August,Domingo
240,2023-08-28,2023,T3,8,August,Lunes
241,2023-08-29,2023,T3,8,August,Martes
242,2023-08-30,2023,T3,8,August,Miercoles
243,2023-08-31,2023,T3,8,August,Jueves
244,2023-09-01,2023,T3,9,September,Viernes
245,2023-09-02,2023,T3,9,September,Sabado
246,2023-09-03,2023,T3,9,September,Domingo
247,2023-09-04,2023,T3,9,September,Lunes
248,2023-09-05,2023,T3,9,September,Martes
249,2023-09-06,2023,T3,9,September,Miercoles
250,2023-09-07,2023,T3,9,September,Jueves
251,2023-09-08,2023,T3,9,September,Viernes
252,2023-09-09,2023,T3,9,September,Sabado
253,2023-09-10,2023,T3,9,September,Domingo
254,2023-09-11,2023,T3,9,September,Lunes
255,2023-09-12,2023,T3,9,September,Martes
256,2023-09-13,2023,T3,9,September,Miercoles
257,2023-09-14,2023,T3,9,September,Jueves
258,2023-09-15,2023,T3,9,September,Viernes
259,2023-09-16,2023,T3,9,September,Sabado
260,2023-09-17,2023,T3,9,September,Domingo
261,2023-09-18,2023,T3,9,September,Lunes
262,2023-09-19,2023,T3,9,September,Martes
263,2023-09-20,2023,T3,9,September,Miercoles
264,2023-09-21,2023,T3,9,September,Jueves
265,2023-09-22,2023,T3,9,September,Viernes
266,2023-09-23,2023,T3,9,September,Sabado
267,2023-09-24,2023,T3,9,September,Domingo
268,2023-09-25,2023,T3,9,September,Lunes
269,2023-09-26,2023,T3,9,September,Martes
270,2023-09-27,2023,T3,9,September,Miercoles
271,2023-09-28,2023,T3,9,September,Jueves
272,2023-09-29,2023,T3,9,September,Viernes
273,2023-09-30,2023,T3,9,September,Sabado
274,2023-10-01,2023,T4,10,October,Domingo
275,2023-10-02,2023,T4,10,October,Lunes
276,2023-10-03,2023,T4,10,October,Martes
277,2023-10-04,2023,T4,10,October,Miercoles
278,2023-10-05,2023,T4,10,October,Jueves
279,2023-10-06,2023,T4,10,October,Viernes
280,2023-10-07,2023,T4,10,October,Sabado
281,2023-10-08,2023,T4,10,October,Domingo
282,2023-10-09,2023,T4,10,October,Lunes
283,2023-10-10,2023,T4,10,October,Martes
284,2023-10-11,2023,T4,10,October,Miercoles
285,2023-10-12,2023,T4,10,October,Jueves
286,2023-10-13,2023,T4,10,October,Viernes
287,2023-10-14,2023,T4,10,October,Sabado
288,2023-10-15,2023,T4,10,October,Domingo
289,2023-10-16,2023,T4,10,October,Lunes
290,2023-10-17,2023,T4,10,October,Martes
291,2023-10-18,2023,T4,10,October,Miercoles
292,2023-10-19,2023,T4,10,October,Jueves
293,2023-10-20,2023,T4,10,October,Viernes
294,2023-10-21,2023,T4,10,October,Sabado
295,2023-10-22,2023,T4,10,October,Domingo
296,2023-10-23,2023,T4,10,October,Lunes
297,2023-10-24,2023,T4,10,October,Martes
298,2023-10-25,2023,T4,10,October,Miercoles
299,2023-10-26,2023,T4,10,October,Jueves
300,2023-10-27,2023,T4,10,October,Viernes
301,2023-10-28,2023,T4,10,October,Sabado
302,2023-10-29,2023,T4,10,October,Domingo
303,2023-10-30,2023,T4,10,October,Lunes
304,2023-10-31,2023,T4,10,October,Martes
305,2023-11-01,2023,T4,11,November,Miercoles
306,2023-11-02,2023,T4,11,November,Jueves
307,2023-11-03,2023,T4,11,November,Viernes
308,2023-11-04,2023,T4,11,November,Sabado
309,2023-11-05,2023,T4,11,November,Domingo
310,2023-11-06,2023,T4,11,November,Lunes
311,2023-11-07,2023,T4,11,November,Martes
312,2023-11-08,2023,T4,11,November,Miercoles
313,2023-11-09,2023,T4,11,November,Jueves
314,2023-11-10,2023,T4,11,November,Viernes
315,2023-11-11,2023,T4,11,November,Sabado
316,2023-11-12,2023,T4,11,November,Domingo
317,2023-11-13,2023,T4,11,November,Lunes
318,2023-11-14,2023,T4,11,November,Martes
319,2023-11-15,2023,T4,11,November,Miercoles
320,2023-11-16,2023,T4,11,November,Jueves
321,2023-11-17,2023,T4,11,November,Viernes
322,2023-11-18,2023,T4,11,November,Sabado
323,2023-11-19,2023,T4,11,November,Domingo
324,2023-11-20,2023,T4,11,November,Lunes
325,2023-11-21,2023,T4,11,November,Martes
326,2023-11-22,2023,T4,11,November,Miercoles
327,2023-11-23,2023,T4,11,November,Jueves
328,2023-11-24,2023,T4,11,November,Viernes
329,2023-11-25,2023,T4,11,November,Sabado
330,2023-11-26,2023,T4,11,November,Domingo
331,2023-11-27,2023,T4,11,November,Lunes
332,2023-11-28,2023,T4,11,November,Martes
333,2023-11-29,2023,T4,11,November,Miercoles
334,2023-11-30,2023,T4,11,November,Jueves
335,2023-12-01,2023,T4,12,December,Viernes
336,2023-12-02,2023,T4,12,December,Sabado
337,2023-12-03,2023,T4,12,December,Domingo
338,2023-12-04,2023,T4,12,December,Lunes
339,2023-12-05,2023,T4,12,December,Martes
340,2023-12-06,2023,T4,12,December,Miercoles
341,2023-12-07,2023,T4,12,December,Jueves
342,2023-12-08,2023,T4,12,December,Viernes
343,2023-12-09,2023,T4,12,December,Sabado
344,2023-12-10,2023,T4,12,December,Domingo
345,2023-12-11,2023,T4,12,December,Lunes
346,2023-12-12,2023,T4,12,December,Martes
347,2023-12-13,2023,T4,12,December,Miercoles
348,2023-12-14,2023,T4,12,December,Jueves
349,2023-12-15,2023,T4,12,December,Viernes
350,2023-12-16,2023,T4,12,December,Sabado
351,2023-12-17,2023,T4,12,December,Domingo
352,2023-12-18,2023,T4,12,December,Lunes
353,2023-12-19,2023,T4,12,December,Martes
354,2023-12-20,2023,T4,12,December,Miercoles
355,2023-12-21,2023,T4,12,December,Jueves
356,2023-12-22,2023,T4,12,December,Viernes
357,2023-12-23,2023,T4,12,December,Sabado
358,2023-12-24,2023,T4,12,December,Domingo
359,2023-12-25,2023,T4,12,December,Lunes
360,2023-12-26,2023,T4,12,December,Martes
361,2023-12-27,2023,T4,12,December,Miercoles
362,2023-12-28,2023,T4,12,December,Jueves
363,2023-12-29,2023,T4,12,December,Viernes
364,2023-12-30,2023,T4,12,December,Sabado
365,2023-12-31,2023,T4,12,December,Domingo
