consulta,rank,doc_id,score,fuente,idioma,url
player injury world cup,3,105,0.0,Marca,es,https://www.marca.com/tiramillas/sociedad/2026/07/20/seleccion-espanola-borra-trump-foto-buscada-mundial-rastro-presidente-rodri-levantaba-trofeo.html
player injury world cup,4,106,0.0,Larazon.es,es,https://www.larazon.es/tecnologia-consumo/operadoras/vodafone-se-suma-cambiar-nombre-su-red-movil-apoyo-seleccion-espanola_202607176a59f0840500ab412c9aa7d6.html
player injury world cup,5,107,0.0,Xataka.com,es,https://www.xataka.com/magnet/argentina-tiene-claro-que-argentina-tuvo-que-regalar-cuarto-mundial-para-argentina-nadie-argentina-tiene-muy-claro-que
fifa organización torneo,1,117,0.336,Marca,es,https://www.marca.com/futbol/mundial/2026/07/21/cubarsi-laporte-fuera-xi-ideal-mundial-2026.html
fifa organización torneo,2,22,0.1674,BBC News,es,https://www.bbc.com/mundo/articles/cd7lx5rr51go
fifa organización torneo,3,45,0.1606,Gizmodo.com,es,https://es.gizmodo.com/argentina-vs-espana-en-vivo-gratis-donde-ver-la-final-del-mundial-2026-desde-cualquier-lugar-2000246501
fifa organización torneo,4,53,0.1579,BBC News,es,https://www.bbc.com/mundo/articles/cly92wy3re4o
fifa organización torneo,5,124,0.1527,20minutos.es,es,https://www.20minutos.es/gente/lola-indigo-reacciona-las-palabras-unai-simon-lola-indigo-esta_7014218_0.html
estadio sede partido,1,62,0.1628,Marca,es,https://www.marca.com/futbol/mundial/2026/07/17/lagrimas-arbitro-slavko-vincic-conocer-pitara-final-espana-vs-argentina-mundial-video.html
estadio sede partido,2,170,0.1339,Marca,es,https://www.marca.com/futbol/seleccion/2026/07/29/luis-fuente-conquistar-mundial-seguiremos-intentando-cosas-igual-bien-video.html
estadio sede partido,3,154,0.1328,Marketingdirecto.com,es,https://www.marketingdirecto.com/anunciantes-general/del-estadio-calle-asi-conquistado-mundial-marcas-moda
estadio sede partido,4,48,0.0917,Gizmodo.com,es,https://es.gizmodo.com/francia-vs-espana-en-vivo-donde-ver-gratis-la-semifinal-del-mundial-2026-desde-cualquier-lugar-2000245955
estadio sede partido,5,114,0.0854,Marca,es,https://www.marca.com/futbol/mundial/2026/07/13/secretos-estadio-semifinal-cesped-estara-preparado-juego-rapido.html
