jugador,seleccion,posicion,club_actual,carga_partidos_temporada_actual,carga_minutos_temporada_actual,partidos_qatar2022,goles_qatar2022,asistencias_qatar2022,rating_por_90_qatar2022
Marten de Roon,Netherlands,Defensive Midfield,Atalanta BC,50.0,3918.0,5,0,0,1.931
Mathew Leckie,Australia,Left Winger,Melbourne City FC,8.0,402.0,4,1,1,4.662
Mathew Ryan,Australia,Goalkeeper,Levante UD,36.0,3240.0,4,0,0,0.77
Mehdi Taremi,Iran,Centre-Forward,Olympiacos Piraeus,39.0,2123.0,3,2,1,5.761
Mehdi Torabi,Iran,Left Winger,Tractor FC,26.0,1673.0,3,0,0,0.385
Memphis Depay,Netherlands,Centre-Forward,Sport Club Corinthians Paulista,14.0,850.0,5,1,0,2.275
Milad Mohammadi,Iran,Left-Back,Persepolis FC,21.0,1567.0,3,0,0,2.735
Mohammed Muntari,Qatar,Centre-Forward,Al-Gharafa SC,10.0,474.0,3,1,0,1.897
Nathan Aké,Netherlands,Centre-Back,Manchester City,32.0,1644.0,5,0,0,2.843
Nico Schlotterbeck,Germany,Centre-Back,Borussia Dortmund,37.0,3290.0,2,0,0,2.091
Nicolas Jackson,Senegal,Centre-Forward,Bayern Munich,34.0,1320.0,1,0,0,1.113
Nikola Vlašić,Croatia,Attacking Midfield,Torino FC,41.0,3350.0,6,2,0,2.159
Noa Lang,Netherlands,Left Winger,Galatasaray,46.0,2051.0,1,0,0,0.043
Noussair Mazraoui,Morocco,Right-Back,Manchester United,20.0,984.0,5,0,0,2.831
Nuno Mendes,Portugal,Left-Back,Paris Saint-Germain,41.0,2979.0,1,0,0,1.493
Ousmane Dembélé,France,Centre-Forward,Paris Saint-Germain,40.0,2200.0,7,0,2,2.722
Pape Gueye,Senegal,Central Midfield,Villarreal CF,39.0,2834.0,3,0,0,1.347
Pape Matar Sarr,Senegal,Central Midfield,Tottenham Hotspur,37.0,2212.0,2,0,0,1.162
Ramin Rezaeian,Iran,Right-Back,Foolad FC,18.0,1331.0,2,1,0,6.151
Richie Laryea,Canada,Right-Back,Toronto FC,9.0,810.0,3,0,0,1.348
Ritsu Doan,Japan,Right Winger,Eintracht Frankfurt,40.0,3057.0,4,2,0,3.776
Roozbeh Cheshmi,Iran,Defensive Midfield,Esteghlal FC,20.0,1495.0,2,1,0,3.422
Saman Ghoddos,Iran,Attacking Midfield,Kalba FC,27.0,1973.0,1,0,0,1.318
Seyed Hossein Hosseini,Iran,Goalkeeper,Sepahan FC,23.0,2100.0,2,0,0,0.45
Shogo Taniguchi,Japan,Centre-Back,Sint-Truidense VV,38.0,2955.0,2,0,0,1.817
Sofyan Amrabat,Morocco,Defensive Midfield,Real Betis Balompié,29.0,2023.0,7,0,0,2.7
Tajon Buchanan,Canada,Right Winger,Villarreal CF,43.0,2331.0,3,0,1,2.456
Takefusa Kubo,Japan,Right Winger,Real Sociedad,27.0,1746.0,2,0,0,1.741
Takehiro Tomiyasu,Japan,Centre-Back,Ajax Amsterdam,9.0,236.0,3,0,0,1.431
Teun Koopmeiners,Netherlands,Defensive Midfield,Juventus FC,45.0,2669.0,5,1,1,2.461
Thibaut Courtois,Belgium,Goalkeeper,Real Madrid,45.0,4005.0,3,0,0,0.819
Thomas Meunier,Belgium,Right-Back,LOSC Lille,35.0,2549.0,3,0,0,2.551
Timothy Castagne,Belgium,Right-Back,Fulham FC,36.0,2362.0,3,0,0,2.758
Virgil van Dijk,Netherlands,Centre-Back,Liverpool FC,55.0,4941.0,5,0,0,2.405
William Saliba,France,Centre-Back,Arsenal FC,50.0,4254.0,1,0,0,0.653
Wout Weghorst,Netherlands,Centre-Forward,Ajax Amsterdam,34.0,2193.0,4,3,0,3.174
Yassine Bounou,Morocco,Goalkeeper,Al-Hilal SFC,36.0,3300.0,6,0,0,0.64
Youri Tielemans,Belgium,Central Midfield,Aston Villa,35.0,2586.0,3,0,0,1.437
Yuto Nagatomo,Japan,Left-Back,FC Tokyo,8.0,501.0,4,0,0,2.653
